X,Y,station
302489.273,606286.927,0.0
302624.229105251,606267.6109462706,136.33143539259882
302726.5663295395,606227.2737113013,246.3314353928149
302847.7816696759,606142.7774570585,394.0906167164412
302886.0095170554,606110.5496478755,444.09061671655843
302952.0044635785,606043.6608360244,538.0557491723303
303088.555070285,605994.8865414826,683.0557491721767
303119.0268103862,605998.1285762036,713.6994717581953
303158.4447679216,605991.3297069028,753.6994717585496
303167.5461220095,605986.9601829804,763.7953811055487
303216.2822982078,605975.7894565237,813.7953811055561
303307.3764628296,605975.5130506885,904.8899650736839
303331.0990269232,605967.6238205091,929.8899650736751
303361.5170519121,605945.019800662,967.7871675756326
303403.3425487637,605928.4177582243,1012.7871675755003
303423.6824771953,605926.0343742236,1033.2662595450113
303454.7113251698,605900.7913436333,1073.2662595450593
303480.4205517557,605823.6155593042,1154.6116098636446
303579.5162128835,605810.1972902038,1254.6116098637115
303591.9953387311,605828.8053776254,1277.016732032772
303618.9437511651,605851.1388293802,1312.0167320327228
303654.8302828347,605866.4807793354,1351.04516504893
303681.2757003906,605880.6455204306,1381.0451650489313
303688.766023608,605885.5473523161,1389.99686308531
303710.6155144992,605897.6964159779,1414.9968630865867
303723.9275864088,605903.8896568684,1429.6790799237808
303755.0684726206,605928.9943418093,1469.6790799242704
303797.4657420101,605984.8498275413,1539.8029969429163
303824.6943251104,606006.8408316642,1574.802996942678
303827.6175588409,606008.2071994806,1578.0297997648079
303856.2295189314,606028.3654667618,1613.0297997647979
303865.018608001,606037.2409687309,1625.5207013286222
303887.2444443388,606057.390713125,1655.520701329655
303935.7728304951,606096.8428128862,1718.0624668828077
303978.8041396753,606164.2839459599,1798.062466882926
303988.7690479889,606203.6924131922,1838.7112883578943
304003.4378758798,606217.28746701,1858.7112883578766
304022.503549124,606220.5940884028,1878.0615762443563
304031.5399606385,606238.4362650341,1898.0615762444293
304025.032666856,606251.52230358,1912.6762701240266
304062.89015575,606365.3942076415,2032.6762701238333
304113.5657088367,606390.9709011846,2089.440510039869
304142.137139993,606400.1182134502,2119.440510039931
304217.2319192792,606411.6425987374,2195.4144353846727
304245.7657878449,606420.9064178562,2225.4144353845186
304260.160685536,606428.3197457879,2241.606115672842
304288.1568158274,606439.1001302295,2271.6061156729015
304326.5339660067,606449.2912517095,2311.3133519517396
304354.2034216912,606460.8844058152,2341.3133519516487
304427.3769405011,606504.1494137936,2426.3205561780865
304451.8507956917,606521.4996418064,2456.320556177863
304474.194015848,606540.2967227638,2485.5190105799766
304560.7897986233,606564.8154993542,2575.519010579739
304582.694001717,606561.5592610671,2597.6639242384895
304712.6936442583,606561.2544013344,2727.6639242397123
304817.6072978288,606576.3480822357,2833.657763252471
304869.3135824242,606545.9102746053,2893.6577632524854
304898.1059666838,606470.2938990117,2974.570294106888
304919.77022329,606425.2310541649,3024.5702941066975
304958.372104173,606359.7167825415,3100.6112369865423
304966.4023040567,606310.3658363518,3150.6112369864663
304956.294128265,606262.9052995075,3199.13625914387
304980.5248730571,606219.1689186923,3249.13625914385
305075.0366792833,606184.7652030532,3349.715069864167
305123.2686611978,606197.943819089,3399.7150698643363
305152.6803698518,606233.7076157278,3446.019473067179
305172.376511549,606237.1806550662,3466.019473067205
305217.7729265548,606210.369532837,3518.742056184567
305246.7119898264,606202.4619025368,3548.742056184615
305274.9818952272,606202.4619025368,3577.011961585427
305316.1861486799,606152.1905439177,3642.011961585429
305314.5769192782,606144.1527540202,3650.2092590488646
305328.384896953,606096.0971637882,3700.2092590490256
305346.7616165921,606076.6532120904,3726.963157499914
305408.1328464039,606042.9846488385,3796.963157500322
305427.8280606699,606039.1982118727,3817.019043665685
305467.5921961207,606043.5356687132,3857.019043665611
305537.0293187644,606073.4871661426,3932.640510189995
305587.0143478852,606072.2637022901,3982.6405101900623
305629.207317183,606051.5597267173,4029.639459781376
305635.317606102,606037.8606621752,4044.6394597814074
305628.3236841519,606013.121041107,4070.3486759274365
305627.7417983896,605998.1323317243,4085.348675927431
305631.6580303771,605978.6031731663,4105.266630314456
305626.8568878629,605964.3922959747,4120.266630314365
305614.5337460584,605953.5563657526,4136.676298431392
305597.2444856572,605929.039402752,4166.676298431324
305578.2898953918,605881.428774393,4217.921282818666
305601.6123950583,605733.252996989,4367.921282818686
305610.7597009745,605722.1950135536,4382.272317735391
305617.815234377,605708.9579652267,4397.272317735444
305630.3965415515,605666.5344904994,4441.52206912637
305648.1750760577,605642.3699770384,4471.522069126343
305655.9896769666,605637.1321349445,4480.929671220657
305677.0831520103,605615.7998750876,4510.929671221042
305682.6588082599,605607.2753391719,4521.115723213432
305698.3065567255,605594.8194984552,4541.115723213546
305727.1112190328,605584.2053585356,4571.8137449228725
305744.2695440748,605559.5965820168,4601.81374492289
305744.2695440748,605517.1711957108,4644.239131228905
305749.6917574223,605487.6652708411,4674.239131228922
305762.4778237734,605454.0512877213,4710.20277055972
305813.7531292875,605406.3979243102,4780.202770559389
305823.8039157769,605403.3954898668,4790.692428401368
305873.4964391558,605408.9320158773,4840.6924284016195
305906.406417883,605427.4358446592,4878.447671473491
305924.5399883996,605418.9993987058,4898.447671473636
305930.9532211166,605385.2311614291,4932.819511730717
305954.2271221485,605359.0906654362,4967.819511730627
306021.7812896047,605337.9286825059,5038.610719251404
306045.5594755837,605319.6366658987,5068.610719251524
306083.1224172547,605260.1102165419,5138.998024641117
306153.0751891638,605257.5392824255,5208.998024641067
306228.1052200468,605359.0745205408,5335.247421128441
306282.4460819259,605367.5639687115,5390.247421128465
306315.4088854523,605343.8091325253,5430.877935013409
306354.4877742613,605352.3437941741,5470.877935013439
306363.6740892806,605368.5265035062,5489.486225234767
306383.6207832851,605369.9857493008,5509.486225234744
306396.3337802595,605353.684697021,5530.158539993807
306449.6202254583,605326.1065397564,5590.158539994127
306467.7022207803,605325.2609364225,5608.260296810078
306504.905801958,605339.9542528469,5648.260296809975
306533.7841440449,605369.6297008079,5689.667915111116
306569.1027662903,605388.4072118971,5729.667915111352
306569.5307783159,605388.4843443711,5730.102821667536
306605.4206397065,605370.8231482231,5770.102821667708
306638.9784413586,605306.0316863921,5843.06897531387
306670.2032919845,605281.0315123252,5883.06897531374
306718.2180508921,605268.3936335803,5932.719081578738
306752.8436832324,605250.732746074,5971.588624442967
306814.9662860751,605199.8829592702,6051.868874828428
306854.9927450114,605169.9182703026,6101.868874827432
306884.491487193,605149.7676672691,6137.593132593103
306917.5056773604,605082.4247890443,6212.593132593171
306916.3693250369,605063.4715478587,6231.5804085442915
306918.9483868062,605043.6385339577,6251.580408544491
306923.0733440348,605031.1286882805,6264.752785361326
306926.245,605011.3817746371,6284.752785361286
306926.245,604924.3556432562,6371.778916742218
306958.4613495077,604886.1181377885,6421.778916742172
306990.1235596176,604880.666462405,6453.907040147261
307008.9820860488,604851.1816191657,6488.907040147298
307004.2162357652,604833.4255339697,6507.291595905189
307051.3892249027,604788.7074269451,6572.2915959054135
307076.7333091617,604796.9838310151,6598.952831271654
307105.9536339814,604790.1887874218,6628.95283127174
307129.8887135645,604766.8580796812,6662.377522120375
307189.7061442489,604771.535149952,6722.3775221203905
307256.0365550455,604860.2299964741,6833.131750915599
307295.4033344784,604853.1408020852,6873.1317509156
307324.7236012129,604753.3523572301,6977.138538040124
307399.2555438714,604744.9863830752,7052.13853804017
307413.3195845413,604770.1685711025,7080.981905281327
307433.2420077962,604792.5983961504,7110.981905281716
307438.5985325817,604796.4843293651,7117.599520768188
307457.6200071024,604819.6831118132,7147.599520768418
307466.7471181328,604839.5649777493,7169.476283528528
307486.1885363671,604844.2587243376,7189.476283528451
307498.4883587901,604834.5813468836,7205.126755279335
307546.4177704104,604820.3415610065,7255.126755280269
307553.3017570637,604820.9561873967,7262.038125465856
307583.2922416547,604820.2006518195,7292.038125466038
307592.9665892543,604818.8430292871,7301.807267722078
307622.3102421285,604825.0840256822,7331.807267722143
307636.7046953413,604834.0795566784,7348.781361547723
307655.1661324664,604869.5644173837,7388.7813615477335
307647.70496614,605010.7550494837,7530.168997484345
307663.3363369456,605042.0705447973,7565.168997484335
307695.6986954317,605063.8353360334,7604.169361384316
307677.3648763426,605151.9481675486,7694.169361384476
307593.3580626255,605167.3879709741,7779.583249486541
307582.6786321544,605195.4227665826,7809.583249486484
307612.6568285392,605233.9612217481,7858.408496900442
307600.4220140447,605277.2660634435,7903.408496900158
307594.6615173839,605279.4276841348,7909.561213844122
307573.2543506003,605307.1176319555,7944.5612138443375
307567.6991074137,605360.1150621645,7997.849001709994
307575.6064568718,605383.8315927824,8022.849001710042
307624.7792073823,605436.8184943444,8095.137113664262
307674.5512422844,605511.8034564487,8185.137113664761
307692.3673525773,605551.2849034736,8228.45222009593
307710.8940381588,605580.9793797506,8263.452220095956
307743.5759348988,605620.437994661,8314.687839201979
